word,level,status,mastery,last_seen,scene,source
cave,B2,new,0,,,Oxford5000
certainty,B2,new,0,,,Oxford5000
certificate,B2,new,0,,,Oxford5000
challenging,B2,new,0,,,Oxford5000
championship,B2,new,0,,,Oxford5000
charming,B2,new,0,,,Oxford5000
chase,B2,new,0,,,Oxford5000
cheek,B2,new,0,,,Oxford5000
cheer,B2,new,0,,,Oxford5000
chop,B2,new,0,,,Oxford5000
circuit,B2,new,0,,,Oxford5000
civilization,B2,new,0,,,Oxford5000
clarify,B2,new,0,,,Oxford5000
classify,B2,new,0,,,Oxford5000
cliff,B2,new,0,,,Oxford5000
clinic,B2,new,0,,,Oxford5000
clip,B2,new,0,,,Oxford5000
coincidence,B2,new,0,,,Oxford5000
collector,B2,new,0,,,Oxford5000
colony,B2,new,0,,,Oxford5000
colorful,B2,new,0,,,Oxford5000
commander,B2,new,0,,,Oxford5000
comparative,B2,new,0,,,Oxford5000
completion,B2,new,0,,,Oxford5000
compose,B2,new,0,,,Oxford5000
composer,B2,new,0,,,Oxford5000
compound,B2,new,0,,,Oxford5000
comprehensive,B2,new,0,,,Oxford5000
comprise,B2,new,0,,,Oxford5000
compulsory,B2,new,0,,,Oxford5000
confess,B2,new,0,,,Oxford5000
confusion,B2,new,0,,,Oxford5000
consequently,B2,new,0,,,Oxford5000
conservation,B2,new,0,,,Oxford5000
considerable,B2,new,0,,,Oxford5000
considerably,B2,new,0,,,Oxford5000
consistently,B2,new,0,,,Oxford5000
conspiracy,B2,new,0,,,Oxford5000
consult,B2,new,0,,,Oxford5000
consultant,B2,new,0,,,Oxford5000
consumption,B2,new,0,,,Oxford5000
controversial,B2,new,0,,,Oxford5000
controversy,B2,new,0,,,Oxford5000
convenience,B2,new,0,,,Oxford5000
convention,B2,new,0,,,Oxford5000
conventional,B2,new,0,,,Oxford5000
convey,B2,new,0,,,Oxford5000
convincing,B2,new,0,,,Oxford5000
cop,B2,new,0,,,Oxford5000
cope,B2,new,0,,,Oxford5000
corporation,B2,new,0,,,Oxford5000
corridor,B2,new,0,,,Oxford5000
coverage,B2,new,0,,,Oxford5000
cowboy,B2,new,0,,,Oxford5000
crack,B2,new,0,,,Oxford5000
craft,B2,new,0,,,Oxford5000
creativity,B2,new,0,,,Oxford5000
critically,B2,new,0,,,Oxford5000
cruise,B2,new,0,,,Oxford5000
cue,B2,new,0,,,Oxford5000
curious,B2,new,0,,,Oxford5000
curriculum,B2,new,0,,,Oxford5000
cute,B2,new,0,,,Oxford5000
dare,B2,new,0,,,Oxford5000
darkness,B2,new,0,,,Oxford5000
database,B2,new,0,,,Oxford5000
deadline,B2,new,0,,,Oxford5000
deadly,B2,new,0,,,Oxford5000
dealer,B2,new,0,,,Oxford5000
deck,B2,new,0,,,Oxford5000
defender,B2,new,0,,,Oxford5000
delete,B2,new,0,,,Oxford5000
delighted,B2,new,0,,,Oxford5000
democracy,B2,new,0,,,Oxford5000
democratic,B2,new,0,,,Oxford5000
demonstration,B2,new,0,,,Oxford5000
depart,B2,new,0,,,Oxford5000
dependent,B2,new,0,,,Oxford5000
deposit,B2,new,0,,,Oxford5000
depression,B2,new,0,,,Oxford5000
derive,B2,new,0,,,Oxford5000
desperately,B2,new,0,,,Oxford5000
destruction,B2,new,0,,,Oxford5000
determination,B2,new,0,,,Oxford5000
devote,B2,new,0,,,Oxford5000
differ,B2,new,0,,,Oxford5000
dime,B2,new,0,,,Oxford5000
disability,B2,new,0,,,Oxford5000
disabled,B2,new,0,,,Oxford5000
disagreement,B2,new,0,,,Oxford5000
disappoint,B2,new,0,,,Oxford5000
disappointment,B2,new,0,,,Oxford5000
discourage,B2,new,0,,,Oxford5000
disorder,B2,new,0,,,Oxford5000
distant,B2,new,0,,,Oxford5000
distinct,B2,new,0,,,Oxford5000
distinguish,B2,new,0,,,Oxford5000
distract,B2,new,0,,,Oxford5000
disturb,B2,new,0,,,Oxford5000
dive,B2,new,0,,,Oxford5000
diverse,B2,new,0,,,Oxford5000
diversity,B2,new,0,,,Oxford5000
divorce,B2,new,0,,,Oxford5000
dominant,B2,new,0,,,Oxford5000
donation,B2,new,0,,,Oxford5000
dot,B2,new,0,,,Oxford5000
dramatically,B2,new,0,,,Oxford5000
drought,B2,new,0,,,Oxford5000
dull,B2,new,0,,,Oxford5000
dump,B2,new,0,,,Oxford5000
duration,B2,new,0,,,Oxford5000
dynamic,B2,new,0,,,Oxford5000
eager,B2,new,0,,,Oxford5000
economics,B2,new,0,,,Oxford5000
economist,B2,new,0,,,Oxford5000
editorial,B2,new,0,,,Oxford5000
efficiently,B2,new,0,,,Oxford5000
elbow,B2,new,0,,,Oxford5000
electronics,B2,new,0,,,Oxford5000
elegant,B2,new,0,,,Oxford5000
elementary,B2,new,0,,,Oxford5000
eliminate,B2,new,0,,,Oxford5000
embrace,B2,new,0,,,Oxford5000
emission,B2,new,0,,,Oxford5000
emotionally,B2,new,0,,,Oxford5000
empire,B2,new,0,,,Oxford5000
enjoyable,B2,new,0,,,Oxford5000
entertaining,B2,new,0,,,Oxford5000
entrepreneur,B2,new,0,,,Oxford5000
envelope,B2,new,0,,,Oxford5000
equip,B2,new,0,,,Oxford5000
era,B2,new,0,,,Oxford5000
erupt,B2,new,0,,,Oxford5000
essentially,B2,new,0,,,Oxford5000
ethic,B2,new,0,,,Oxford5000
ethnic,B2,new,0,,,Oxford5000
evaluation,B2,new,0,,,Oxford5000
evident,B2,new,0,,,Oxford5000
evolution,B2,new,0,,,Oxford5000
evolve,B2,new,0,,,Oxford5000
exceed,B2,new,0,,,Oxford5000
exception,B2,new,0,,,Oxford5000
excessive,B2,new,0,,,Oxford5000
exclude,B2,new,0,,,Oxford5000
exotic,B2,new,0,,,Oxford5000
expansion,B2,new,0,,,Oxford5000
expedition,B2,new,0,,,Oxford5000
expertise,B2,new,0,,,Oxford5000
exploit,B2,new,0,,,Oxford5000
exposure,B2,new,0,,,Oxford5000
extension,B2,new,0,,,Oxford5000
extensive,B2,new,0,,,Oxford5000
extensively,B2,new,0,,,Oxford5000
extract,B2,new,0,,,Oxford5000
fabric,B2,new,0,,,Oxford5000
fabulous,B2,new,0,,,Oxford5000
faculty,B2,new,0,,,Oxford5000
failed,B2,new,0,,,Oxford5000
fake,B2,new,0,,,Oxford5000
fame,B2,new,0,,,Oxford5000
fantasy,B2,new,0,,,Oxford5000
fare,B2,new,0,,,Oxford5000
firefighter,B2,new,0,,,Oxford5000
firework,B2,new,0,,,Oxford5000
firm,B2,new,0,,,Oxford5000
firmly,B2,new,0,,,Oxford5000
flavor,B2,new,0,,,Oxford5000
fond,B2,new,0,,,Oxford5000
fool,B2,new,0,,,Oxford5000
forbid,B2,new,0,,,Oxford5000
forecast,B2,new,0,,,Oxford5000
format,B2,new,0,,,Oxford5000
formation,B2,new,0,,,Oxford5000
formerly,B2,new,0,,,Oxford5000
fortunate,B2,new,0,,,Oxford5000
forum,B2,new,0,,,Oxford5000
fossil,B2,new,0,,,Oxford5000
foundation,B2,new,0,,,Oxford5000
founder,B2,new,0,,,Oxford5000
fraction,B2,new,0,,,Oxford5000
fragment,B2,new,0,,,Oxford5000
framework,B2,new,0,,,Oxford5000
fraud,B2,new,0,,,Oxford5000
freely,B2,new,0,,,Oxford5000
frequent,B2,new,0,,,Oxford5000
fulfill,B2,new,0,,,Oxford5000
full-time,B2,new,0,,,Oxford5000
fundamentally,B2,new,0,,,Oxford5000
furious,B2,new,0,,,Oxford5000
gallon,B2,new,0,,,Oxford5000
gaming,B2,new,0,,,Oxford5000
gay,B2,new,0,,,Oxford5000
gender,B2,new,0,,,Oxford5000
gene,B2,new,0,,,Oxford5000
genetic,B2,new,0,,,Oxford5000
genius,B2,new,0,,,Oxford5000
genuine,B2,new,0,,,Oxford5000
genuinely,B2,new,0,,,Oxford5000
gesture,B2,new,0,,,Oxford5000
globalization,B2,new,0,,,Oxford5000
globe,B2,new,0,,,Oxford5000
golden,B2,new,0,,,Oxford5000
goodness,B2,new,0,,,Oxford5000
gorgeous,B2,new,0,,,Oxford5000
graphic,B2,new,0,,,Oxford5000
graphics,B2,new,0,,,Oxford5000
greatly,B2,new,0,,,Oxford5000
greenhouse,B2,new,0,,,Oxford5000
guideline,B2,new,0,,,Oxford5000
habitat,B2,new,0,,,Oxford5000
harbor,B2,new,0,,,Oxford5000
headquarters,B2,new,0,,,Oxford5000
heal,B2,new,0,,,Oxford5000
healthcare,B2,new,0,,,Oxford5000
helmet,B2,new,0,,,Oxford5000
hence,B2,new,0,,,Oxford5000
herb,B2,new,0,,,Oxford5000
hidden,B2,new,0,,,Oxford5000
hilarious,B2,new,0,,,Oxford5000
hip,B2,new,0,,,Oxford5000
historian,B2,new,0,,,Oxford5000
homeless,B2,new,0,,,Oxford5000
honesty,B2,new,0,,,Oxford5000
honey,B2,new,0,,,Oxford5000
hook,B2,new,0,,,Oxford5000
hopefully,B2,new,0,,,Oxford5000
hunger,B2,new,0,,,Oxford5000
hypothesis,B2,new,0,,,Oxford5000
icon,B2,new,0,,,Oxford5000
id,B2,new,0,,,Oxford5000
identical,B2,new,0,,,Oxford5000
illusion,B2,new,0,,,Oxford5000
immigration,B2,new,0,,,Oxford5000
immune,B2,new,0,,,Oxford5000
implement,B2,new,0,,,Oxford5000
implication,B2,new,0,,,Oxford5000
incentive,B2,new,0,,,Oxford5000
incorporate,B2,new,0,,,Oxford5000
incorrect,B2,new,0,,,Oxford5000
independence,B2,new,0,,,Oxford5000
index,B2,new,0,,,Oxford5000
indication,B2,new,0,,,Oxford5000
inevitable,B2,new,0,,,Oxford5000
inevitably,B2,new,0,,,Oxford5000
infer,B2,new,0,,,Oxford5000
inflation,B2,new,0,,,Oxford5000
info,B2,new,0,,,Oxford5000
infrastructure,B2,new,0,,,Oxford5000
inhabitant,B2,new,0,,,Oxford5000
inherit,B2,new,0,,,Oxford5000
ink,B2,new,0,,,Oxford5000
innovation,B2,new,0,,,Oxford5000
innovative,B2,new,0,,,Oxford5000
input,B2,new,0,,,Oxford5000
insert,B2,new,0,,,Oxford5000
inspector,B2,new,0,,,Oxford5000
installation,B2,new,0,,,Oxford5000
instant,B2,new,0,,,Oxford5000
instantly,B2,new,0,,,Oxford5000
integrate,B2,new,0,,,Oxford5000
intellectual,B2,new,0,,,Oxford5000
interact,B2,new,0,,,Oxford5000
interaction,B2,new,0,,,Oxford5000
interpretation,B2,new,0,,,Oxford5000
interval,B2,new,0,,,Oxford5000
invade,B2,new,0,,,Oxford5000
invasion,B2,new,0,,,Oxford5000
investor,B2,new,0,,,Oxford5000
isolate,B2,new,0,,,Oxford5000
isolated,B2,new,0,,,Oxford5000
jail,B2,new,0,,,Oxford5000
jet,B2,new,0,,,Oxford5000
journalism,B2,new,0,,,Oxford5000
jury,B2,new,0,,,Oxford5000
kindergarten,B2,new,0,,,Oxford5000
kit,B2,new,0,,,Oxford5000
ladder,B2,new,0,,,Oxford5000
landing,B2,new,0,,,Oxford5000
lane,B2,new,0,,,Oxford5000
lately,B2,new,0,,,Oxford5000
legend,B2,new,0,,,Oxford5000
lens,B2,new,0,,,Oxford5000
lifetime,B2,new,0,,,Oxford5000
lighting,B2,new,0,,,Oxford5000
likewise,B2,new,0,,,Oxford5000
limitation,B2,new,0,,,Oxford5000
literally,B2,new,0,,,Oxford5000
literary,B2,new,0,,,Oxford5000
litter,B2,new,0,,,Oxford5000
logo,B2,new,0,,,Oxford5000
lottery,B2,new,0,,,Oxford5000
loyal,B2,new,0,,,Oxford5000
lyric,B2,new,0,,,Oxford5000
makeup,B2,new,0,,,Oxford5000
making,B2,new,0,,,Oxford5000
manufacture,B2,new,0,,,Oxford5000
manufacturing,B2,new,0,,,Oxford5000
marathon,B2,new,0,,,Oxford5000
margin,B2,new,0,,,Oxford5000
marker,B2,new,0,,,Oxford5000
martial,B2,new,0,,,Oxford5000
mate,B2,new,0,,,Oxford5000
mechanic,B2,new,0,,,Oxford5000
mechanical,B2,new,0,,,Oxford5000
mechanism,B2,new,0,,,Oxford5000
medal,B2,new,0,,,Oxford5000
medication,B2,new,0,,,Oxford5000
membership,B2,new,0,,,Oxford5000
memorable,B2,new,0,,,Oxford5000
metaphor,B2,new,0,,,Oxford5000
miner,B2,new,0,,,Oxford5000
miserable,B2,new,0,,,Oxford5000
mode,B2,new,0,,,Oxford5000
modest,B2,new,0,,,Oxford5000
monster,B2,new,0,,,Oxford5000
monthly,B2,new,0,,,Oxford5000
monument,B2,new,0,,,Oxford5000
moreover,B2,new,0,,,Oxford5000
mortgage,B2,new,0,,,Oxford5000
mosque,B2,new,0,,,Oxford5000
mosquito,B2,new,0,,,Oxford5000
motion,B2,new,0,,,Oxford5000
motivate,B2,new,0,,,Oxford5000
motivation,B2,new,0,,,Oxford5000
moving,B2,new,0,,,Oxford5000
myth,B2,new,0,,,Oxford5000
naked,B2,new,0,,,Oxford5000
nasty,B2,new,0,,,Oxford5000
navigation,B2,new,0,,,Oxford5000
necessity,B2,new,0,,,Oxford5000
negotiate,B2,new,0,,,Oxford5000
negotiation,B2,new,0,,,Oxford5000
neutral,B2,new,0,,,Oxford5000
newly,B2,new,0,,,Oxford5000
nickel,B2,new,0,,,Oxford5000
norm,B2,new,0,,,Oxford5000
notebook,B2,new,0,,,Oxford5000
novelist,B2,new,0,,,Oxford5000
nowadays,B2,new,0,,,Oxford5000
nursing,B2,new,0,,,Oxford5000
nutrition,B2,new,0,,,Oxford5000
obesity,B2,new,0,,,Oxford5000
observer,B2,new,0,,,Oxford5000
obstacle,B2,new,0,,,Oxford5000
occupation,B2,new,0,,,Oxford5000
occupy,B2,new,0,,,Oxford5000
offender,B2,new,0,,,Oxford5000
ongoing,B2,new,0,,,Oxford5000
openly,B2,new,0,,,Oxford5000
opera,B2,new,0,,,Oxford5000
operator,B2,new,0,,,Oxford5000
optimistic,B2,new,0,,,Oxford5000
orchestra,B2,new,0,,,Oxford5000
organic,B2,new,0,,,Oxford5000
outfit,B2,new,0,,,Oxford5000
output,B2,new,0,,,Oxford5000
outstanding,B2,new,0,,,Oxford5000
overcome,B2,new,0,,,Oxford5000
overnight,B2,new,0,,,Oxford5000
ownership,B2,new,0,,,Oxford5000
oxygen,B2,new,0,,,Oxford5000
packet,B2,new,0,,,Oxford5000
palm,B2,new,0,,,Oxford5000
panic,B2,new,0,,,Oxford5000
parade,B2,new,0,,,Oxford5000
participation,B2,new,0,,,Oxford5000
partnership,B2,new,0,,,Oxford5000
part-time,B2,new,0,,,Oxford5000
passionate,B2,new,0,,,Oxford5000
password,B2,new,0,,,Oxford5000
patch,B2,new,0,,,Oxford5000
patience,B2,new,0,,,Oxford5000
pause,B2,new,0,,,Oxford5000
peer,B2,new,0,,,Oxford5000
penalty,B2,new,0,,,Oxford5000
perceive,B2,new,0,,,Oxford5000
perception,B2,new,0,,,Oxford5000
permanently,B2,new,0,,,Oxford5000
pharmacy,B2,new,0,,,Oxford5000
physician,B2,new,0,,,Oxford5000
pill,B2,new,0,,,Oxford5000
pity,B2,new,0,,,Oxford5000
placement,B2,new,0,,,Oxford5000
portion,B2,new,0,,,Oxford5000
potentially,B2,new,0,,,Oxford5000
precede,B2,new,0,,,Oxford5000
precious,B2,new,0,,,Oxford5000
precise,B2,new,0,,,Oxford5000
precisely,B2,new,0,,,Oxford5000
predictable,B2,new,0,,,Oxford5000
preference,B2,new,0,,,Oxford5000
presidential,B2,new,0,,,Oxford5000
pride,B2,new,0,,,Oxford5000
primarily,B2,new,0,,,Oxford5000
prior,B2,new,0,,,Oxford5000
probability,B2,new,0,,,Oxford5000
probable,B2,new,0,,,Oxford5000
proceed,B2,new,0,,,Oxford5000
programming,B2,new,0,,,Oxford5000
progressive,B2,new,0,,,Oxford5000
prohibit,B2,new,0,,,Oxford5000
promising,B2,new,0,,,Oxford5000
promotion,B2,new,0,,,Oxford5000
prompt,B2,new,0,,,Oxford5000
proportion,B2,new,0,,,Oxford5000
protein,B2,new,0,,,Oxford5000
protester,B2,new,0,,,Oxford5000
psychological,B2,new,0,,,Oxford5000
publicity,B2,new,0,,,Oxford5000
publishing,B2,new,0,,,Oxford5000
punk,B2,new,0,,,Oxford5000
purely,B2,new,0,,,Oxford5000
pursuit,B2,new,0,,,Oxford5000
puzzle,B2,new,0,,,Oxford5000
questionnaire,B2,new,0,,,Oxford5000
racial,B2,new,0,,,Oxford5000
racism,B2,new,0,,,Oxford5000
radiation,B2,new,0,,,Oxford5000
rail,B2,new,0,,,Oxford5000
random,B2,new,0,,,Oxford5000
rat,B2,new,0,,,Oxford5000
rating,B2,new,0,,,Oxford5000
reasonably,B2,new,0,,,Oxford5000
rebuild,B2,new,0,,,Oxford5000
receiver,B2,new,0,,,Oxford5000
recession,B2,new,0,,,Oxford5000
reckon,B2,new,0,,,Oxford5000
recognition,B2,new,0,,,Oxford5000
recovery,B2,new,0,,,Oxford5000
recruit,B2,new,0,,,Oxford5000
referee,B2,new,0,,,Oxford5000
refugee,B2,new,0,,,Oxford5000
registration,B2,new,0,,,Oxford5000
regulate,B2,new,0,,,Oxford5000
reinforce,B2,new,0,,,Oxford5000
relieve,B2,new,0,,,Oxford5000
relieved,B2,new,0,,,Oxford5000
remarkable,B2,new,0,,,Oxford5000
remarkably,B2,new,0,,,Oxford5000
rental,B2,new,0,,,Oxford5000
reporting,B2,new,0,,,Oxford5000
resign,B2,new,0,,,Oxford5000
resolution,B2,new,0,,,Oxford5000
restore,B2,new,0,,,Oxford5000
restrict,B2,new,0,,,Oxford5000
restriction,B2,new,0,,,Oxford5000
retail,B2,new,0,,,Oxford5000
retirement,B2,new,0,,,Oxford5000
revenue,B2,new,0,,,Oxford5000
revision,B2,new,0,,,Oxford5000
ridiculous,B2,new,0,,,Oxford5000
risky,B2,new,0,,,Oxford5000
rob,B2,new,0,,,Oxford5000
robbery,B2,new,0,,,Oxford5000
rocket,B2,new,0,,,Oxford5000
romance,B2,new,0,,,Oxford5000
rose,B2,new,0,,,Oxford5000
roughly,B2,new,0,,,Oxford5000
ruin,B2,new,0,,,Oxford5000
satisfaction,B2,new,0,,,Oxford5000
scandal,B2,new,0,,,Oxford5000
scare,B2,new,0,,,Oxford5000
scenario,B2,new,0,,,Oxford5000
scholar,B2,new,0,,,Oxford5000
scholarship,B2,new,0,,,Oxford5000
scratch,B2,new,0,,,Oxford5000
screening,B2,new,0,,,Oxford5000
seeker,B2,new,0,,,Oxford5000
seminar,B2,new,0,,,Oxford5000
settler,B2,new,0,,,Oxford5000
severely,B2,new,0,,,Oxford5000
sexy,B2,new,0,,,Oxford5000
shaped,B2,new,0,,,Oxford5000
shocking,B2,new,0,,,Oxford5000
shore,B2,new,0,,,Oxford5000
shortage,B2,new,0,,,Oxford5000
shortly,B2,new,0,,,Oxford5000
short-term,B2,new,0,,,Oxford5000
sibling,B2,new,0,,,Oxford5000
sidewalk,B2,new,0,,,Oxford5000
signature,B2,new,0,,,Oxford5000
significance,B2,new,0,,,Oxford5000
skilled,B2,new,0,,,Oxford5000
skull,B2,new,0,,,Oxford5000
slogan,B2,new,0,,,Oxford5000
so-called,B2,new,0,,,Oxford5000
somehow,B2,new,0,,,Oxford5000
sometime,B2,new,0,,,Oxford5000
sophisticated,B2,new,0,,,Oxford5000
spare,B2,new,0,,,Oxford5000
specialize,B2,new,0,,,Oxford5000
specify,B2,new,0,,,Oxford5000
spectacular,B2,new,0,,,Oxford5000
spectator,B2,new,0,,,Oxford5000
speculate,B2,new,0,,,Oxford5000
speculation,B2,new,0,,,Oxford5000
spice,B2,new,0,,,Oxford5000
spill,B2,new,0,,,Oxford5000
spite,B2,new,0,,,Oxford5000
spoil,B2,new,0,,,Oxford5000
spokesman,B2,new,0,,,Oxford5000
spokesperson,B2,new,0,,,Oxford5000
spokeswoman,B2,new,0,,,Oxford5000
sponsorship,B2,new,0,,,Oxford5000
stall,B2,new,0,,,Oxford5000
stance,B2,new,0,,,Oxford5000
starve,B2,new,0,,,Oxford5000
steadily,B2,new,0,,,Oxford5000
steam,B2,new,0,,,Oxford5000
stimulate,B2,new,0,,,Oxford5000
strengthen,B2,new,0,,,Oxford5000
strictly,B2,new,0,,,Oxford5000
stroke,B2,new,0,,,Oxford5000
stunning,B2,new,0,,,Oxford5000
subsequent,B2,new,0,,,Oxford5000
subsequently,B2,new,0,,,Oxford5000
suburb,B2,new,0,,,Oxford5000
suffering,B2,new,0,,,Oxford5000
sufficient,B2,new,0,,,Oxford5000
sufficiently,B2,new,0,,,Oxford5000
super,B2,new,0,,,Oxford5000
surgeon,B2,new,0,,,Oxford5000
survival,B2,new,0,,,Oxford5000
survivor,B2,new,0,,,Oxford5000
suspend,B2,new,0,,,Oxford5000
sustainable,B2,new,0,,,Oxford5000
swallow,B2,new,0,,,Oxford5000
sympathetic,B2,new,0,,,Oxford5000
tackle,B2,new,0,,,Oxford5000
tag,B2,new,0,,,Oxford5000
tap,B2,new,0,,,Oxford5000
technological,B2,new,0,,,Oxford5000
temple,B2,new,0,,,Oxford5000
temporarily,B2,new,0,,,Oxford5000
tendency,B2,new,0,,,Oxford5000
tension,B2,new,0,,,Oxford5000
terminal,B2,new,0,,,Oxford5000
terms,B2,new,0,,,Oxford5000
terribly,B2,new,0,,,Oxford5000
terrify,B2,new,0,,,Oxford5000
territory,B2,new,0,,,Oxford5000
terror,B2,new,0,,,Oxford5000
terrorism,B2,new,0,,,Oxford5000
terrorist,B2,new,0,,,Oxford5000
testing,B2,new,0,,,Oxford5000
textbook,B2,new,0,,,Oxford5000
theft,B2,new,0,,,Oxford5000
therapist,B2,new,0,,,Oxford5000
thesis,B2,new,0,,,Oxford5000
thorough,B2,new,0,,,Oxford5000
thoroughly,B2,new,0,,,Oxford5000
thumb,B2,new,0,,,Oxford5000
timing,B2,new,0,,,Oxford5000
tissue,B2,new,0,,,Oxford5000
tournament,B2,new,0,,,Oxford5000
trace,B2,new,0,,,Oxford5000
trading,B2,new,0,,,Oxford5000
tragedy,B2,new,0,,,Oxford5000
tragic,B2,new,0,,,Oxford5000
trait,B2,new,0,,,Oxford5000
transmit,B2,new,0,,,Oxford5000
trap,B2,new,0,,,Oxford5000
treasure,B2,new,0,,,Oxford5000
tribe,B2,new,0,,,Oxford5000
trigger,B2,new,0,,,Oxford5000
troop,B2,new,0,,,Oxford5000
tsunami,B2,new,0,,,Oxford5000
ultimate,B2,new,0,,,Oxford5000
unacceptable,B2,new,0,,,Oxford5000
uncertainty,B2,new,0,,,Oxford5000
undergo,B2,new,0,,,Oxford5000
undertake,B2,new,0,,,Oxford5000
unfold,B2,new,0,,,Oxford5000
unfortunate,B2,new,0,,,Oxford5000
unite,B2,new,0,,,Oxford5000
unity,B2,new,0,,,Oxford5000
universal,B2,new,0,,,Oxford5000
urgent,B2,new,0,,,Oxford5000
usage,B2,new,0,,,Oxford5000
useless,B2,new,0,,,Oxford5000
valid,B2,new,0,,,Oxford5000
variation,B2,new,0,,,Oxford5000
vertical,B2,new,0,,,Oxford5000
viewpoint,B2,new,0,,,Oxford5000
visa,B2,new,0,,,Oxford5000
visible,B2,new,0,,,Oxford5000
voluntary,B2,new,0,,,Oxford5000
voting,B2,new,0,,,Oxford5000
wander,B2,new,0,,,Oxford5000
warming,B2,new,0,,,Oxford5000
weekly,B2,new,0,,,Oxford5000
weird,B2,new,0,,,Oxford5000
welfare,B2,new,0,,,Oxford5000
wheat,B2,new,0,,,Oxford5000
whoever,B2,new,0,,,Oxford5000
widespread,B2,new,0,,,Oxford5000
wisdom,B2,new,0,,,Oxford5000
withdraw,B2,new,0,,,Oxford5000
wolf,B2,new,0,,,Oxford5000
workforce,B2,new,0,,,Oxford5000
workplace,B2,new,0,,,Oxford5000
workshop,B2,new,0,,,Oxford5000
worm,B2,new,0,,,Oxford5000
wrist,B2,new,0,,,Oxford5000
abolish,C1,new,0,,,Oxford5000
abortion,C1,new,0,,,Oxford5000
absence,C1,new,0,,,Oxford5000
absent,C1,new,0,,,Oxford5000
absurd,C1,new,0,,,Oxford5000
abuse,C1,new,0,,,Oxford5000
academy,C1,new,0,,,Oxford5000
accelerate,C1,new,0,,,Oxford5000
acceptance,C1,new,0,,,Oxford5000
accessible,C1,new,0,,,Oxford5000
accomplishment,C1,new,0,,,Oxford5000
accordingly,C1,new,0,,,Oxford5000
accountability,C1,new,0,,,Oxford5000
accountable,C1,new,0,,,Oxford5000
